"","Alegria","Tristesa","Sorpresa","Irritacio","Despreci","Amor","Emocposit","Emocnegat","Animacio","Relaxacio"
"chord_number",-0.240479098347571,0.0620101925119223,0.0369044077556382,0.297305941739415,0.283698369923857,-0.0510596975041877,-0.244342202443618,-0.26524618467071,-0.338211595159019,0.283559237755796
"chorstren_mean",0.192678251401639,-0.0363547672264594,-0.0824009379398491,-0.260124622345512,-0.226517607295027,0.0774781688822433,0.145230203650874,0.311318612544779,0.180723903371449,-0.142916423564294
"tunstre_diat",0.101332367782277,0.0457574520509376,-0.156217307112851,-0.260923435400844,-0.267407284959247,0.132388168822703,0.0525169855963946,0.211382300581679,0.165863119304591,-0.225931705229467
"tunequal_dev",-0.243465893390643,0.079287144940294,0.033480145853399,0.189896224250875,0.132988156312044,-0.137066860189145,-0.15049010534922,-0.149020499760296,-0.119457267851088,0.136789175100178
"nontemper_ener",-0.258056224344806,0.112182240235487,0.0310948522811412,0.188724201696169,0.139254449220464,-0.134307433125172,-0.119149952531788,-0.149319217065901,-0.130191402231388,0.148915439169108
"bark1_mean",-0.0325364043814717,-0.0326866199222072,-0.0286849860737624,-0.132865772027903,-0.0762967261538332,-0.226284952462655,0.108227179109117,0.0573784085725424,0.0117199700937697,-0.0138992141732181
"bark2_mean",0.201082100792557,-0.185686438965633,0.0465878872803374,-0.213637019858084,-0.171275851486784,-0.196757712853727,0.354684992005039,-0.0045757977502457,0.218152030496751,-0.293466162194598
"bark3_mean",0.279598739533708,-0.170954457524317,0.0694242982605898,-0.267798140094285,-0.222003058646023,-0.121914898601899,0.384002965948106,0.0425717573530903,0.274573698717726,-0.357810851779732
"bark4_mean",0.325646885147901,-0.0684062295569214,-0.0967739387736156,-0.397597099578816,-0.368249592719518,0.0727588349728775,0.360038634680153,0.21512201899004,0.334872035100217,-0.328559350582967
"bark5_mean",0.271386237112692,-0.0618278983567324,-0.11999828994153,-0.34386017626657,-0.351983600166079,0.141548189050027,0.152504543476506,0.298377253721782,0.146831534008675,-0.185755535192068
"bark6_mean",0.108378679002101,0.0180871917650087,0.0220152179925558,-0.282684859762495,-0.29015541290753,0.113910574353368,0.082983075036031,0.274330985526392,0.0761907053033758,-0.068382608821504
"bark7_mean",0.0826437807081776,-0.0565785678547162,0.10034595415149,-0.100233826830544,-0.0653572073481811,0.0365584478589326,0.033950467724234,0.0536042522207372,0.0172120252038532,0.0690019318344635
"bark8_mean",0.01697996455571,0.0106825670958061,0.0940442784352946,0.131864514412403,0.0920234868729192,0.116389036907683,-0.0940123807878431,0.00640336556623233,0.0158553410728412,0.0375610824675817
"bark9_mean",-0.0515709899113227,0.179328923837627,-0.0896520632655011,0.13886613557655,0.142956934843072,0.201376249787568,-0.175556022691831,-0.0199055247553255,-0.0660238139368378,0.174635339453759
"bark10_mean",-0.0534410507725431,0.0804495326558767,0.102921286998245,0.215626888200452,0.232509616163525,0.0646126796664277,-0.12409998999184,-0.0873637467308028,-0.123509438494256,0.140453385267741
"bark11_mean",-0.040369551625685,-0.0862382365656859,0.155585347398486,0.120948951632833,0.0554934456196357,0.0281614903218502,0.000277224860826639,-0.182176390671081,0.0328620130841324,0.0378041821335722
"bark12_mean",0.0198053637538514,0.00151425702542915,0.132827285926073,0.00846450561333923,-0.0357550150522234,0.106855528245369,-0.0537675984707877,0.108433760670128,0.030277083015697,-0.0209061847075405
"bark13_mean",-0.0476360446338072,0.0755713636843096,0.0185239045326877,0.222393707699228,0.192246634807819,0.00119229484606361,-0.0560468439564889,-0.115081049011787,0.00264904673913008,0.0889511439746707
"bark14_mean",-0.0536880797862553,-0.068360369462012,0.116933547222187,0.310276647295878,0.239993547400269,-0.169519383011382,0.00523209729888131,-0.112104828759701,-0.0564773499102693,0.0929012797866445
"bark15_mean",0.00726613929506465,-0.0877715182985661,0.169282540587357,0.259209956815155,0.197467852194709,-0.179473460019815,0.0995430356122202,-0.233417770547702,0.0200455388487888,0.0623078306926573
"bark16_mean",0.143814394560135,-0.240599506749082,0.195341085554497,0.215016515415912,0.120193550263429,-0.219992047107795,0.259470507730022,-0.241669602055643,0.122724404201602,-0.0692099897898055
"bark17_mean",-0.0565007712554433,-0.11983015330583,0.207842317670871,0.430977145161964,0.347050612237848,-0.231511672215098,0.124586650219374,-0.386496111806041,-0.0539923720068078,0.118878930994839
"bark18_mean",0.0688445091132077,-0.25290616388488,0.217363800655209,0.227812698124503,0.160438902708921,-0.213710301865654,0.23083431657499,-0.360049091850374,0.0570617625167806,0.0105726005915268
"bark19_mean",-0.00132034728802413,-0.194213423539471,0.203578065495134,0.249855689764806,0.185197963402257,-0.20159155707545,0.153226997386789,-0.403069818984182,0.0109695947617407,0.0496637071875255
"bark20_mean",0.0845337381642589,-0.266051485591697,0.131404628202519,0.147259048275432,0.112396166460794,-0.268290479116569,0.230857142157917,-0.363867205334784,0.0853641808416914,-0.0155968949262821
"bark21_mean",0.0926150535271693,-0.236836486826156,0.0915685861939166,0.160351886694147,0.15402024090129,-0.23434314928872,0.228395647818418,-0.303295628619472,0.0428025016124956,0.0603035025651152
"bark22_mean",0.0768598913290465,-0.108038157432946,0.0347113116026425,0.0843153298056212,0.100168582310156,-0.106595314252275,0.198804352912237,-0.251616757065787,0.0210877627027866,0.0816743103866659
"bark23_mean",0.0856787246160128,-0.078361315059253,0.0213021663472533,0.0329614675686576,0.0127991102037974,0.0843913647211327,0.114639746935527,-0.115010401087163,-0.00682325145692456,0.0195832011340736
"bark24_mean",0.113969958744347,-0.0891013868131511,-0.0022506262593258,0.0139357581382652,-0.0424385869109098,0.0888093344810593,0.128816838638947,-0.124724106320315,0.0550604743911473,-0.0657138765048291
"bark25_mean",0.180157862860221,-0.15661731998281,0.0223235965025546,0.0252007890752692,-0.0204635105251802,-0.00349698894479932,0.225053276531577,-0.162850090354624,0.152650452631014,-0.126701851836606
"bark26_mean",0.0739830148404275,-0.126727411602394,0.0583206566148676,-0.0604357602554794,-0.0342106951206946,-0.0608300130126856,0.147344466292603,-0.0536387362919862,0.0350322846784287,-0.0941712383806087
